"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"356",19.05,1,0,0,0,0,0,1,0,0
"357",18.86,0,0,1,0,0,1,1,0,0
"358",17.79,1,0,1,0,0,0,1,0,0
"359",35.27,1,0,1,0,0,1,1,0,0
"360",20.49,1,0,1,0,0,0,1,0,0
"361",22.93,1,0,0,0,0,0,1,0,0
"362",29.18,1,0,1,0,0,0,1,0,0
"363",26.32,1,0,1,1,0,0,1,0,0
"364",23.43,1,0,0,0,0,0,1,0,0
"365",25.57,0,1,0,0,0,0,1,0,0
"366",22.9,1,0,0,0,0,1,1,0,0
"367",20.93,0,1,0,0,0,1,1,0,0
"368",21.62,1,0,1,0,0,0,1,0,0
"369",21.02,1,0,1,0,0,0,1,0,0
"370",19.69,0,0,0,1,0,0,1,0,0
"371",20.07,1,0,0,0,0,0,1,0,0
"372",17.82,1,0,1,0,0,0,1,0,0
"373",18.36,1,0,1,0,0,0,1,0,0
"374",20.15,1,0,1,0,0,0,1,0,0
"375",20.97,0,1,1,0,0,1,1,0,0
"376",19.29,0,1,1,0,0,0,1,0,0
"377",15.78,1,0,1,0,0,0,1,0,0
"378",16.19,1,0,1,0,0,0,1,0,0
"379",19.35,1,0,0,0,0,0,1,0,0
"380",19.7,1,0,1,0,0,0,1,0,0
"381",25.47,1,0,0,0,0,0,1,0,0
"382",17.4,1,0,0,1,1,0,1,0,0
"383",21.41,1,0,1,0,0,0,1,0,0
"384",18.19,1,0,0,0,0,0,1,0,0
"385",18.59,1,0,0,0,0,0,1,0,0
"386",19.77,1,0,0,0,0,0,1,0,0
"387",15.86,1,0,1,1,0,0,1,0,0
"388",25.23,1,0,0,0,0,0,1,0,0
"389",28.7,1,0,0,0,1,1,1,0,0
"390",27.78,1,0,0,0,0,0,1,0,0
"391",39.58,1,0,0,0,0,1,1,0,0
"392",33.41,1,0,0,0,0,1,1,0,0
"393",20.52,0,0,1,0,0,0,1,0,0
"394",29.13,1,0,1,1,0,1,1,0,0
"395",20.64,0,1,0,0,0,0,1,0,0
"396",22.79,1,0,0,0,0,0,1,0,0
"397",25.31,1,0,1,0,0,0,1,0,0
"398",19.49,1,0,0,0,0,0,1,0,0
"399",30.12,0,0,1,1,0,0,1,0,0
"400",25.03,0,1,0,0,0,1,1,1,0
"401",34.6,1,0,0,0,0,1,1,0,0
"402",29.29,0,1,0,0,0,0,1,0,0
"403",29.65,0,1,0,0,0,1,1,1,0
"404",19.81,0,0,1,0,0,0,1,0,0
"405",31.46,1,0,1,0,0,1,1,0,0
"406",21.13,0,1,0,0,0,0,1,0,0
"407",27.38,1,0,1,1,0,1,1,0,0
"408",20.57,1,0,0,0,0,0,1,0,0
"409",19.98,1,0,0,0,0,0,1,0,0
"410",21.33,1,0,0,0,0,0,1,0,0
"411",21.45,1,0,0,0,0,0,1,0,0
"412",21.61,1,0,0,0,0,0,1,0,0
"413",33.99,1,0,1,0,0,0,1,0,0
"414",25.38,1,0,0,0,0,0,1,0,0
"415",30.51,1,0,0,0,0,0,1,0,0
"416",32.31,1,0,0,0,0,0,1,0,0
"417",34.9,1,0,0,0,0,0,1,0,0
"418",27.77,1,0,1,0,0,0,1,0,0
"419",22.2,1,0,0,0,0,0,1,0,0
"420",17.3,1,0,1,0,0,0,1,0,0
"421",21.9,1,0,0,0,0,0,1,0,0
"422",22.23,1,0,1,0,0,0,1,0,0
"423",28.23,1,0,0,0,0,0,1,0,0
"424",25.4,1,0,0,0,0,1,1,0,0
"425",23.57,1,0,0,0,0,1,1,0,0
"426",21.39,1,0,0,0,0,1,1,0,0
"427",21.5,1,0,0,0,0,0,1,0,0
"428",21.8,1,0,0,0,0,1,1,0,0
"429",22.15,1,0,0,0,0,0,1,0,0
"430",27.33,0,0,0,0,0,1,1,0,0
"431",26.17,1,0,0,0,0,1,1,0,0
"432",19.9,1,0,0,0,0,0,1,0,0
"433",21.26,1,0,0,0,0,0,1,0,0
"434",25.42,1,0,0,0,0,0,1,0,0
"435",42.02,1,0,0,0,0,1,1,0,0
"436",27.29,1,0,0,0,0,0,1,0,0
"437",26.68,1,0,1,0,0,0,1,0,0
"438",21.19,1,0,0,0,0,0,1,0,0
"439",22.25,1,0,0,0,0,0,1,0,0
"440",25.26,1,0,0,0,0,0,1,0,0
"441",21.15,0,0,0,0,0,0,1,0,0
"442",20.78,1,0,0,0,0,0,1,0,0
"443",22.44,1,0,0,0,0,0,1,0,0
"444",25.09,1,0,0,0,0,0,1,0,0
"445",16.77,1,0,0,0,0,0,1,0,0
"446",25.52,1,0,0,0,0,0,1,0,0
"447",19.97,0,1,0,0,0,0,1,0,0
"448",18.08,1,0,0,0,0,0,1,0,0
"449",20.5,0,0,0,0,0,0,1,0,0
"450",23.41,0,1,0,0,0,0,1,0,0
"451",23.6,0,0,1,0,0,0,1,0,0
"452",25.84,1,0,1,0,0,0,1,0,0
"453",20.03,1,0,1,0,0,1,1,1,0
"454",32.36,0,0,0,0,0,0,1,0,0
"455",21.29,1,0,0,0,0,0,1,0,0
"456",17.06,0,1,1,0,0,1,1,0,0
"457",23.04,1,0,1,0,0,0,1,0,0
"458",24.54,1,0,1,0,0,0,1,0,0
"459",21.27,1,0,0,0,0,0,1,0,0
"460",21.83,1,0,0,0,0,0,1,0,0
"461",21.21,1,0,0,0,0,0,1,0,0
"462",29.02,1,0,1,0,0,1,1,0,0
"463",28.34,0,1,0,0,0,1,1,0,0
"464",25.79,1,0,0,0,0,0,1,1,0
"465",29.85,1,0,1,0,0,1,1,0,0
"466",29.66,1,0,0,1,0,0,1,0,0
"467",26.96,1,0,0,0,0,1,1,0,0
"468",21.94,1,0,0,0,0,0,1,0,0
"469",23.86,1,0,1,0,0,1,1,0,0
"470",21.61,1,0,0,0,0,0,1,0,0
"471",14.87,1,0,1,0,0,0,1,0,0
"472",21.48,1,0,1,0,0,0,1,0,0
"473",31.5,1,0,1,0,0,0,1,0,0
"474",27.82,0,0,1,0,0,1,1,0,0
"475",24.52,1,0,0,0,0,0,1,0,0
"476",20.45,1,0,0,0,0,0,1,0,0
"477",22.42,1,0,0,0,0,0,1,0,0
"478",28.27,0,1,0,0,0,0,1,0,0
"479",19.85,1,0,0,0,1,0,1,0,0
"480",23.57,1,0,0,0,0,1,1,0,0
"481",21.59,1,0,1,0,0,0,1,0,0
"482",19.12,1,0,1,0,0,0,1,0,0
"483",16.77,1,0,1,0,0,0,1,0,0
"484",24.12,1,0,0,0,0,0,1,0,0
"485",20.64,1,0,0,0,0,0,1,0,0
"486",27.41,1,0,0,0,0,0,1,0,0
"487",31.14,1,0,0,0,0,0,1,0,0
"488",27.43,1,0,0,0,0,0,1,0,0
"489",27.35,1,0,0,0,0,0,1,0,0
"490",21.76,1,0,0,0,0,0,1,0,0
"491",18.82,1,0,0,0,0,0,1,0,0
"492",16.59,1,0,1,0,0,0,1,0,0
"493",19.01,1,0,1,0,0,0,1,0,0
"494",19.33,1,0,1,0,0,0,1,0,0
"495",16.5,1,0,1,0,0,0,1,0,0
"496",17.9,0,0,1,0,0,1,1,0,0
"497",24.15,1,0,1,0,0,0,1,0,0
"498",19.17,1,0,0,0,0,0,1,0,0
"499",24.46,1,0,0,0,0,0,1,0,0
"500",24.56,1,0,0,0,0,0,1,0,0
"501",22.75,1,0,0,0,0,1,1,0,0
"502",21.96,0,1,1,0,0,0,1,0,0
"503",24.93,1,0,0,0,0,0,1,0,0
"504",24.6,1,0,1,1,0,1,1,1,0
"505",18.91,1,0,0,0,0,0,1,0,0
"506",18.48,1,0,0,0,0,0,1,0,0
"507",19.49,1,0,0,0,0,0,1,0,0
"508",17.94,1,0,0,0,0,0,1,0,0
"509",32.56,1,0,1,0,0,0,1,0,0
"510",17.09,1,0,0,0,0,0,1,0,0
"511",22.02,1,0,1,0,0,0,1,0,0
"512",18.62,1,0,1,1,0,0,1,0,0
"513",17.42,1,0,0,0,0,0,1,0,0
"514",24.83,1,0,1,1,0,0,1,0,0
"515",23.64,0,0,0,0,0,0,1,0,0
"516",20.96,1,0,0,0,0,0,1,0,0
"517",31.69,1,0,1,0,0,0,1,0,0
"518",28.18,0,1,0,0,0,1,1,0,0
"519",19.72,1,0,0,0,0,0,1,0,0
"520",17.76,1,0,0,0,0,0,1,0,0
"521",23.47,1,0,1,0,0,0,1,0,0
"522",21.4,1,0,1,0,0,0,1,0,0
"523",31.29,1,0,0,0,0,0,1,0,0
"524",23.36,1,0,1,0,0,0,1,0,0
"525",23.84,1,0,0,0,0,0,1,0,0
"526",21.03,1,0,0,1,0,0,1,0,0
"527",21.88,1,0,0,0,0,0,1,0,0
"528",21.36,1,0,0,0,1,1,1,0,1
"529",24.27,1,0,0,0,0,0,1,0,0
"530",25,1,0,1,1,0,0,1,0,0
"531",18.64,1,0,1,1,0,0,1,0,0
"532",15.98,1,0,0,0,0,0,1,0,0
"533",26.85,1,0,0,0,0,1,1,0,0
"534",18.12,1,0,0,1,0,0,1,0,0
"535",18.39,1,0,0,0,0,0,1,0,0
"536",21.11,1,0,1,0,0,0,1,0,0
"537",25.13,1,0,1,0,0,0,1,0,0
"538",18.75,1,0,0,0,0,0,1,0,0
"539",22.78,0,1,0,0,0,0,1,0,0
"540",19.31,1,0,1,0,0,0,1,0,0
"541",27.17,1,0,0,0,0,0,1,0,0
"542",24.66,1,0,0,0,0,0,1,0,0
"543",23.46,1,0,0,0,0,0,1,0,0
"544",20.05,1,0,0,1,0,0,1,0,0
"545",26.09,0,1,1,1,0,0,1,0,0
"546",29.54,1,0,1,0,0,0,1,0,0
"547",25.94,0,0,0,0,0,0,1,0,0
"548",17.74,1,0,1,0,0,0,1,0,0
